rn_guess,react_renderer,confidence,start_app_version,start_app_build,start_external_version_id,start_build_timestamp,end_app_version,end_app_build,end_external_version_id,end_build_timestamp,build_count
unknown,,low,1.0,140,23362671,2013-09-11T08:08:16,7.3.9,2022.06.03.16,849701554,2022-06-03T10:17:00,12
0.66.x,,medium,8.0.0,2022.06.24.16,850009836,2022-06-24T09:34:06,8.9.0,2023.03.09.08,855250847,2023-03-09T01:18:52,9
0.67.x-0.68.x,,medium,8.10.0,2023.03.23.14,855453254,2023-03-23T08:06:06,8.12.4,2023.05.11.19,856978180,2023-05-11T12:29:32,6
0.69.x-0.70.x,,medium,8.12.5,2023.05.17.13,857088967,2023-05-17T07:13:10,8.27.0,2023.11.30.23,861556565,2023-11-30T15:46:44,7
0.71.x,,medium,8.28.0,2023.12.13.10,861901604,2023-12-13T02:32:34,8.56.0,2024.11.14.13,870200865,2024-11-14T13:35:46,11
0.74.x-0.76.x,,medium,8.57.0,2024.11.29.16,870443178,2024-11-29T16:50:26,8.79.0,2025.07.24.14,876309616,2025-07-24T14:25:58,6
0.77.x,,medium,8.80.0,2025.08.07.10,876709591,2025-08-07T10:40:14,8.83.0,2025.09.17.12,877862925,2025-09-17T13:13:06,4
0.79.x,19.0.0,medium,8.84.0,2025.09.30.18,878228231,2025-09-30T18:40:22,8.88.0,2025.11.12.13,879541714,2025-11-12T13:50:16,5
0.81.x,19.1.0,high,8.89.0,2025.11.26.02,879728163,2025-11-26T03:36:00,9.9.0,2026.05.20.12.45,885363722,2026-05-20T12:59:44,5
