from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
unknown,9.7.0,43028597,819447240,2016-11-03T10:43:20,<=0.59.x,10.0.0,44114773,819646349,2016-11-17T12:37:44
<=0.59.x,10.10.0,50667367,821056195,2017-02-23T14:15:16,<=0.59.x,58.0,120248682,828138988,2018-08-09T18:31:38
<=0.59.x,58.0,120248682,828138988,2018-08-09T18:31:38,<=0.59.x,89.0,149781277,830905744,2019-04-11T15:07:06
<=0.59.x,90.0,150975176,830989899,2019-04-19T17:03:30,0.60.x,91.0,151989260,831095391,2019-04-27T03:34:08
0.60.x,92.0,152826666,831147993,2019-05-02T18:57:38,0.60.x,96.1,157574695,831543078,2019-06-04T22:54:00
0.60.x,105.0,165586599,832184604,2019-08-01T19:22:40,0.61.x,106.0,166752244,832266212,2019-08-09T18:53:36
0.61.x,115.0,177195845,833069245,2019-10-10T19:46:46,0.61.x,118.0,180988914,833368709,2019-11-01T17:18:24
0.61.x,118.0,180988914,833368709,2019-11-01T17:18:24,0.64.x,177.0,275424340,840589643,2021-02-26T15:39:50
0.64.x,177.0,275424340,840589643,2021-02-26T15:39:50,0.69.x-0.70.x,236.1,372089098,849384047,2022-05-24T23:28:50
0.69.x-0.70.x,236.1,372089098,849384047,2022-05-24T23:28:50,0.71.x,290.1,491279855,858142473,2023-07-03T20:59:36
0.71.x,290.1,491279855,858142473,2023-07-03T20:59:36,0.78.x,340.0.10,622957927,867327376,2024-07-15T23:38:50
0.78.x,340.0.10,622957927,867327376,2024-07-15T23:38:50,0.83.x,385.0.0,748614773,875444719,2025-06-14T08:13:04
0.83.x,385.0.0,748614773,875444719,2025-06-14T08:13:04,unknown,430.0.0,972915403,885526725,2026-05-16T18:55:26
